canonical,^8.0|7.0|6.4|6.3|6.2|6.1,,^5.3,,^5.2|5.1|5.0|3,
form_type,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID
transaction_id_number,3,TRANSACTION ID NUMBER,28,TRAN ID,28,TRAN ID
entity_type,4,ENTITY TYPE,3,ENTITY TYPE,3,ENTITY TYPE
creditor_name,,,4,NAME (Debtor/Creditor),4,NAME (Debtor/Creditor)
creditor_organization_name,5,CREDITOR ORGANIZATION NAME,,,,
creditor_last_name,6,CREDITOR LAST NAME,,,,
creditor_first_name,7,CREDITOR FIRST NAME,,,,
creditor_middle_name,8,CREDITOR MIDDLE NAME,,,,
creditor_prefix,9,CREDITOR PREFIX,,,,
creditor_suffix,10,CREDITOR SUFFIX,,,,
creditor_street_1,11,CREDITOR STREET  1,5,STREET  1,5,STREET  1
creditor_street_2,12,CREDITOR STREET  2,6,STREET  2,6,STREET  2
creditor_city,13,CREDITOR CITY,7,CITY,7,CITY
creditor_state,14,CREDITOR STATE,8,STATE,8,STATE
creditor_zip,15,CREDITOR ZIP,9,ZIP,9,ZIP
purpose_of_debt_or_obligation,16,PURPOSE OF DEBT OR OBLIGATION,10,NATURE/PURPOSE DEBT DESCRIPTION,10,NATURE/PURPOSE DEBT DESCRIPTION
beginning_balance_this_period,17,BEGINNING BALANCE (This Period),11,BEGINNING BALANCE,11,BEGINNING BALANCE
incurred_amount_this_period,18,INCURRED AMOUNT (This Period),12,INCURRED THIS PERIOD,12,INCURRED THIS PERIOD
payment_amount_this_period,19,PAYMENT AMOUNT (This Period),13,PAYMENT THIS PERIOD,13,PAYMENT THIS PERIOD
balance_at_close_this_period,20,BALANCE AT CLOSE  (This Period),14,BALANCE AT CLOSE,14,BALANCE AT CLOSE
fec_committee_id_number,,,15,FEC COMMITTEE ID NUMBER,15,FEC COMMITTEE ID NUMBER
fec_candidate_id_number,,,16,FEC CANDIDATE ID NUMBER,16,FEC CANDIDATE ID NUMBER
candidate_name,,,17,CANDIDATE NAME,17,CANDIDATE NAME
candidate_office,,,18,CAN/OFFICE,18,CAN/OFFICE
candidate_state,,,19,CAN/STATE,19,CAN/STATE
candidate_district,,,20,CAN/DIST,20,CAN/DIST
conduit_name,,,21,CONDUIT NAME,21,CONDUIT NAME
conduit_street_1,,,22,CONDUIT STREET 1,22,CONDUIT STREET 1
conduit_street_2,,,23,CONDUIT STREET 2,23,CONDUIT STREET 2
conduit_city,,,24,CONDUIT CITY,24,CONDUIT CITY
conduit_state,,,25,CONDUIT STATE,25,CONDUIT STATE
conduit_zip,,,26,CONDUIT ZIP,26,CONDUIT ZIP
